epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.558,3.63515,6.18858,2.37021,0.01729,0.05778,0.00946,0.00374,3.41602,10.0717,2.21305,8e-05,8e-05,8e-05
2,225.95,2.67404,3.89681,1.6907,0.15953,0.28778,0.17723,0.06094,2.44527,4.11726,1.62683,0.000166634,0.000166634,0.000166634
3,339.812,2.03344,2.98479,1.37004,0.28656,0.54222,0.36084,0.17252,1.84326,3.43131,1.34143,0.000249704,0.000249704,0.000249704
4,453.288,1.91152,2.51701,1.28021,0.407,0.51278,0.43326,0.22244,1.69597,2.8529,1.27822,0.00032921,0.00032921,0.00032921
5,566.044,1.77043,2.16924,1.23041,0.46336,0.60197,0.49574,0.28398,1.60091,3.28432,1.2931,0.000405152,0.000405152,0.000405152
6,679.39,1.72156,1.90343,1.19273,0.67745,0.52217,0.64528,0.35536,1.63025,2.10877,1.29191,0.00047753,0.00047753,0.00047753
7,792.764,1.66033,1.71755,1.18774,0.54232,0.55585,0.62456,0.31825,1.53173,2.08467,1.19675,0.000546344,0.000546344,0.000546344
8,904.848,1.5017,1.55071,1.11931,0.67928,0.46389,0.52621,0.29505,1.64735,2.08775,1.30788,0.000611594,0.000611594,0.000611594
9,1016.95,1.52171,1.51178,1.12136,0.69539,0.48085,0.55795,0.2095,2.10746,2.01395,1.4118,0.00067328,0.00067328,0.00067328
10,1128.83,1.52395,1.37756,1.11919,0.60649,0.6423,0.69803,0.33988,1.81626,1.69339,1.32669,0.000731402,0.000731402,0.000731402
11,1242.57,1.43718,1.22443,1.10772,0.63976,0.55964,0.53156,0.16779,2.38276,4.61377,1.5878,0.00078596,0.00078596,0.00078596
12,1354.9,1.44194,1.23207,1.09135,0.77329,0.62516,0.73273,0.38388,1.78672,8.83155,1.31369,0.0007822,0.0007822,0.0007822
13,1470.43,1.3889,1.15006,1.04607,0.87392,0.78973,0.88115,0.45221,1.5389,5.63638,1.22999,0.0007624,0.0007624,0.0007624
14,1582.72,1.33194,1.076,1.04876,0.81274,0.79847,0.88238,0.52857,1.4351,5.15799,1.18279,0.0007426,0.0007426,0.0007426
15,1694.78,1.34251,1.09681,1.04119,0.70402,0.67583,0.7109,0.30494,2.15016,1.48924,1.48008,0.0007228,0.0007228,0.0007228
16,1807.92,1.28193,1.00526,1.04722,0.78103,0.83863,0.8738,0.59695,1.24625,1.15342,1.09793,0.000703,0.000703,0.000703
17,1921.4,1.40795,0.99871,1.06464,0.81581,0.81212,0.87586,0.47956,1.51275,1.20501,1.19078,0.0006832,0.0006832,0.0006832
18,2035.15,1.46371,1.01833,1.10214,0.83855,0.84613,0.88872,0.58783,1.33387,1.05761,1.13421,0.0006634,0.0006634,0.0006634
19,2146.51,1.33013,0.97254,1.06256,0.816,0.77918,0.85768,0.4652,1.583,1.13799,1.20573,0.0006436,0.0006436,0.0006436
20,2259.62,1.28158,0.90131,1.04588,0.83373,0.77413,0.86707,0.55086,1.36281,0.95305,1.12463,0.0006238,0.0006238,0.0006238
21,2373.52,1.25147,0.85409,1.01463,0.80669,0.86905,0.87215,0.53131,1.50195,0.97552,1.18712,0.000604,0.000604,0.000604
22,2485.53,1.32874,0.90492,1.05398,0.83103,0.86854,0.90743,0.58816,1.29925,0.86046,1.1001,0.0005842,0.0005842,0.0005842
23,2596.51,1.19801,0.80548,1.015,0.89359,0.83225,0.90531,0.61895,1.18976,0.80747,1.05861,0.0005644,0.0005644,0.0005644
24,2707.11,1.14945,0.77476,0.97765,0.8109,0.78959,0.82747,0.34633,2.00098,1.10408,1.39626,0.0005446,0.0005446,0.0005446
25,2818.25,1.19972,0.79875,1.01487,0.92391,0.85451,0.89572,0.56426,1.39459,0.88804,1.11791,0.0005248,0.0005248,0.0005248
26,2928.88,1.19961,0.76378,0.99821,0.85558,0.84211,0.89781,0.46903,1.65596,0.95507,1.1947,0.000505,0.000505,0.000505
27,3041.75,1.20553,0.797,1.0168,0.90523,0.79743,0.89558,0.44615,1.78043,0.97733,1.26945,0.0004852,0.0004852,0.0004852
28,3153.88,1.26859,0.76115,1.01039,0.91121,0.86032,0.91402,0.50094,1.65336,0.89515,1.22812,0.0004654,0.0004654,0.0004654
29,3266.57,1.24992,0.77369,0.99328,0.76028,0.72911,0.75203,0.26772,2.30993,1.0754,1.51609,0.0004456,0.0004456,0.0004456
30,3380.43,1.21175,0.75111,0.99828,0.89144,0.84528,0.88699,0.4416,1.76166,0.88004,1.26971,0.0004258,0.0004258,0.0004258
31,3492.07,1.16706,0.712,0.98002,0.95502,0.85828,0.91014,0.5308,1.50373,0.77688,1.17703,0.000406,0.000406,0.000406
32,3653.87,1.12247,0.723,0.9877,0.84883,0.83133,0.86699,0.37847,1.98454,0.89901,1.35552,0.0003862,0.0003862,0.0003862
33,3855.63,1.21261,0.75863,1.03931,0.89272,0.86834,0.9199,0.56908,1.44815,0.76099,1.15971,0.0003664,0.0003664,0.0003664
